anon_id,scenario_id,arch,repeat
a060,general-capability-001,monolithic,0
a061,general-greeting-001,supervisor,4
a062,track-log-expense-001,supervisor,2
a063,track-log-expense-001,monolithic,3
a064,rag-factual-hydration-001,supervisor,1
a065,rag-factual-protein-001,supervisor,2
a066,multi-expense-and-workout-001,monolithic,2
a067,general-greeting-001,supervisor,3
a068,multi-summary-both-domains-001,monolithic,4
a069,track-log-expense-001,supervisor,0
a070,ambiguous-delete-last-001,monolithic,1
a071,general-explanation-001,monolithic,2
a072,multi-workout-and-compare-001,monolithic,4
a073,ambiguous-period-coffee-001,monolithic,2
a074,track-spending-summary-001,monolithic,0
a075,multi-expense-and-workout-001,monolithic,4
a076,rag-factual-cancellation-001,monolithic,0
a077,track-get-expenses-001,monolithic,3
a078,rag-factual-hydration-001,supervisor,4
a079,track-relog-expense-001,monolithic,1
a080,multi-rag-and-workouts-001,supervisor,1
a081,general-explanation-001,monolithic,1
a082,track-get-expenses-001,monolithic,0
a083,multi-summary-both-domains-001,monolithic,3
a084,track-get-expenses-001,supervisor,0
a085,general-definition-001,monolithic,2
a086,ambiguous-period-coffee-001,monolithic,3
a087,track-relog-expense-001,monolithic,0
a088,general-capability-001,monolithic,4
a089,multi-summary-both-domains-001,supervisor,1
a090,general-definition-001,supervisor,3
a091,rag-factual-protein-001,monolithic,4
a092,multi-rag-and-workouts-001,supervisor,3
a093,track-log-expense-001,monolithic,0
a094,track-get-expenses-001,supervisor,1
a095,general-followup-001,monolithic,3
a096,general-followup-001,supervisor,4
a097,rag-not-in-document-001,supervisor,1
a098,rag-factual-protein-001,supervisor,0
a099,general-explanation-001,monolithic,4
a100,general-greeting-001,supervisor,1
a101,general-definition-001,monolithic,3
a102,rag-not-in-document-001,monolithic,0
a103,general-explanation-001,supervisor,0
a104,ambiguous-period-coffee-001,supervisor,0
a105,general-greeting-001,monolithic,4
a106,ambiguous-period-coffee-001,monolithic,1
a107,multi-expense-and-workout-001,supervisor,2
a108,track-get-expenses-001,supervisor,2
a109,rag-not-in-document-001,monolithic,2
a110,general-definition-001,supervisor,1
a111,track-log-exercise-001,monolithic,3
a112,multi-summary-both-domains-001,supervisor,2
a113,track-spending-summary-001,supervisor,2
a114,rag-factual-hydration-001,supervisor,0
a115,ambiguous-period-coffee-001,monolithic,4
a116,ambiguous-missing-category-001,monolithic,0
a117,ambiguous-vague-good-day-001,monolithic,4
a118,rag-factual-protein-001,supervisor,1
a119,ambiguous-delete-last-001,monolithic,2
a120,track-log-exercise-001,supervisor,4
a121,ambiguous-period-coffee-001,supervisor,4
a122,rag-factual-cancellation-001,supervisor,1
a123,general-capability-001,supervisor,1
a124,rag-factual-hydration-001,monolithic,1
a125,rag-summarise-001,supervisor,2
a126,rag-summarise-001,monolithic,1
a127,ambiguous-vague-good-day-001,monolithic,3
a128,general-capability-001,monolithic,2
a129,track-relog-expense-001,supervisor,3
a130,ambiguous-missing-exercise-001,supervisor,2
a131,rag-factual-cancellation-001,monolithic,2
a132,rag-summarise-001,monolithic,3
a133,general-greeting-001,monolithic,3
a134,track-log-expense-002,supervisor,4
a135,track-spending-summary-001,monolithic,4
a136,rag-factual-hydration-001,supervisor,3
a137,multi-rag-and-workouts-001,supervisor,0
a138,track-log-expense-002,supervisor,0
a139,ambiguous-delete-last-001,supervisor,4
a140,rag-not-in-document-001,monolithic,4
a141,track-spending-summary-001,monolithic,3
a142,general-followup-001,supervisor,1
a143,multi-expense-and-workout-001,monolithic,0
a144,rag-factual-protein-001,supervisor,4
a145,ambiguous-vague-good-day-001,monolithic,1
a146,general-greeting-001,supervisor,2
a147,track-get-expenses-001,monolithic,4
a148,track-log-exercise-001,supervisor,0
a149,ambiguous-vague-good-day-001,monolithic,0
a150,ambiguous-missing-category-001,monolithic,3
a151,track-log-expense-002,monolithic,0
a152,track-spending-summary-001,supervisor,3
a153,multi-summary-both-domains-001,monolithic,1
a154,ambiguous-period-coffee-001,supervisor,2
a155,rag-factual-protein-001,monolithic,0
a156,multi-rag-and-workouts-001,monolithic,0
a157,multi-workout-and-compare-001,monolithic,0
a158,ambiguous-missing-exercise-001,supervisor,3
a159,general-explanation-001,monolithic,3
a160,general-definition-001,supervisor,4
a161,general-explanation-001,supervisor,3
a162,track-log-expense-001,monolithic,1
a163,general-greeting-001,monolithic,1
a164,general-followup-001,monolithic,4
a165,general-definition-001,monolithic,1
a166,track-log-expense-002,supervisor,2
a167,track-get-expenses-001,monolithic,2
a168,ambiguous-missing-exercise-001,monolithic,1
a169,ambiguous-missing-exercise-001,monolithic,3
a170,general-explanation-001,monolithic,0
a171,track-get-expenses-001,monolithic,1
a172,multi-rag-and-workouts-001,supervisor,2
a173,track-relog-expense-001,supervisor,4
a174,ambiguous-vague-good-day-001,supervisor,3
a175,multi-expense-and-summary-001,monolithic,0
a176,general-followup-001,supervisor,2
a177,multi-summary-both-domains-001,supervisor,0
a178,multi-summary-both-domains-001,monolithic,2
a179,track-relog-expense-001,monolithic,3
a180,general-followup-001,monolithic,1
a181,general-greeting-001,supervisor,0
a182,rag-summarise-001,monolithic,0
a183,general-capability-001,monolithic,1
a184,track-log-expense-001,supervisor,3
a185,ambiguous-missing-category-001,monolithic,1
a186,general-followup-001,monolithic,0
a187,general-greeting-001,monolithic,0
a188,multi-expense-and-workout-001,supervisor,0
a189,rag-factual-hydration-001,supervisor,2
a190,track-log-exercise-001,monolithic,1
a191,multi-expense-and-workout-001,supervisor,1
a192,track-relog-expense-001,supervisor,0
a193,ambiguous-period-coffee-001,supervisor,1
a194,ambiguous-missing-exercise-001,monolithic,0
a195,multi-workout-and-compare-001,supervisor,2
a196,track-log-expense-002,supervisor,3
a197,ambiguous-missing-category-001,monolithic,2
a198,multi-expense-and-summary-001,monolithic,2
a199,rag-not-in-document-001,supervisor,4
a200,track-log-expense-002,monolithic,3
a201,track-log-expense-002,supervisor,1
a202,multi-expense-and-workout-001,monolithic,3
a203,general-followup-001,monolithic,2
a204,general-capability-001,monolithic,3
a205,general-explanation-001,supervisor,4
a206,multi-expense-and-summary-001,supervisor,3
a207,track-log-expense-002,monolithic,2
a208,general-followup-001,supervisor,0
a209,track-relog-expense-001,supervisor,1
a210,ambiguous-delete-last-001,monolithic,4
a211,rag-factual-protein-001,monolithic,2
a212,ambiguous-missing-exercise-001,supervisor,4
a213,ambiguous-missing-exercise-001,supervisor,0
a214,general-capability-001,supervisor,4
a215,multi-workout-and-compare-001,monolithic,1
a216,multi-workout-and-compare-001,supervisor,3
a217,rag-summarise-001,supervisor,0
a218,multi-summary-both-domains-001,supervisor,3
a219,track-get-expenses-001,supervisor,3
a220,rag-factual-protein-001,supervisor,3
a221,general-greeting-001,monolithic,2
a222,track-spending-summary-001,supervisor,0
a223,general-capability-001,supervisor,2
a224,rag-factual-cancellation-001,supervisor,0
a225,ambiguous-missing-category-001,supervisor,3
a226,track-log-expense-001,supervisor,4
a227,multi-expense-and-summary-001,monolithic,4
a228,rag-factual-hydration-001,monolithic,4
a229,multi-summary-both-domains-001,supervisor,4
a230,multi-rag-and-workouts-001,monolithic,3
a231,multi-summary-both-domains-001,monolithic,0
a232,ambiguous-delete-last-001,supervisor,2
a233,rag-not-in-document-001,supervisor,3
a234,ambiguous-missing-exercise-001,monolithic,2
a235,rag-summarise-001,monolithic,4
a236,multi-workout-and-compare-001,supervisor,1
a237,ambiguous-vague-good-day-001,supervisor,1
a238,general-definition-001,monolithic,4
a239,track-log-expense-002,monolithic,1
a240,ambiguous-delete-last-001,supervisor,0
a241,rag-not-in-document-001,supervisor,2
a242,multi-expense-and-summary-001,supervisor,2
a243,ambiguous-missing-category-001,supervisor,0
a244,rag-not-in-document-001,monolithic,3
a245,track-log-exercise-001,monolithic,2
a246,rag-factual-cancellation-001,supervisor,3
a247,ambiguous-delete-last-001,supervisor,3
a248,ambiguous-missing-exercise-001,supervisor,1
a249,multi-expense-and-summary-001,monolithic,3
a250,multi-expense-and-workout-001,supervisor,4
a251,track-relog-expense-001,supervisor,2
a252,multi-workout-and-compare-001,monolithic,3
a253,rag-not-in-document-001,supervisor,0
a254,rag-factual-hydration-001,monolithic,3
a255,ambiguous-delete-last-001,monolithic,0
a256,multi-rag-and-workouts-001,supervisor,4
a257,multi-expense-and-workout-001,monolithic,1
a258,multi-workout-and-compare-001,supervisor,0
a259,rag-summarise-001,supervisor,4
a260,multi-rag-and-workouts-001,monolithic,2
